"행정구역","2024년04월_남_총인구수","2024년04월_남_연령구간인구수","2024년04월_남_0~9세","2024년04월_남_10~19세","2024년04월_남_20~29세","2024년04월_남_30~39세","2024년04월_남_40~49세","2024년04월_남_50~59세","2024년04월_남_60~69세","2024년04월_남_70~79세","2024년04월_남_80~89세","2024년04월_남_90~99세","2024년04월_남_100세 이상","2024년04월_여_총인구수","2024년04월_여_연령구간인구수","2024년04월_여_0~9세","2024년04월_여_10~19세","2024년04월_여_20~29세","2024년04월_여_30~39세","2024년04월_여_40~49세","2024년04월_여_50~59세","2024년04월_여_60~69세","2024년04월_여_70~79세","2024년04월_여_80~89세","2024년04월_여_90~99세","2024년04월_여_100세 이상"
"강원특별자치도 평창군 대화면(5176033000)","2,569","2,569","65","144","199","148","258","499","694","361","184","17","0","2,454","2,454","77","145","105","126","222","420","632","384","283","57","3"
"강원특별자치도 평창군 봉평면(5176034000)","2,951","2,951","89","217","219","203","353","602","736","382","141","9","0","2,687","2,687","132","185","148","164","322","484","678","332","205","36","1"
"강원특별자치도 평창군 용평면(5176035000)","1,548","1,548","45","85","122","72","155","329","444","184","104","7","1","1,457","1,457","37","77","89","68","126","290","376","208","162","24","0"
"강원특별자치도 평창군 진부면(5176036000)","4,339","4,339","170","313","389","259","531","839","1,030","534","254","17","3","4,229","4,229","164","264","272","258","458","712","1,003","616","404","73","5"
"강원특별자치도 평창군 대관령면(5176038000)","3,127","3,127","110","192","338","352","453","616","627","305","128","6","0","2,737","2,737","117","143","207","226","324","515","582","369","219","35","0"
"강원특별자치도 정선군 (5177000000)","17,714","17,714","640","1,111","1,294","1,304","2,262","3,601","4,384","2,098","939","73","8","16,236","16,236","621","1,077","922","978","1,776","2,720","3,790","2,396","1,659","281","16"
"강원특별자치도 정선군 정선읍(5177025000)","5,062","5,062","239","439","503","401","675","1,026","1,015","506","236","19","3","4,791","4,791","221","417","340","313","649","844","930","600","400","73","4"
"강원특별자치도 정선군 고한읍(5177025300)","2,171","2,171","117","109","142","287","405","403","401","229","76","2","0","2,017","2,017","117","119","138","232","288","278","391","296","141","17","0"
"강원특별자치도 정선군 사북읍(5177025600)","2,248","2,248","99","164","175","177","331","474","513","223","90","2","0","2,055","2,055","107","166","119","141","272","367","465","258","144","14","2"
"강원특별자치도 정선군 신동읍(5177025900)","901","901","24","47","57","44","106","189","266","104","60","4","0","819","819","24","64","31","27","67","140","197","146","111","12","0"
"강원특별자치도 정선군 신동읍함백출장소(5177026000)","784","784","13","49","59","51","83","163","217","100","46","3","0","745","745","14","48","42","28","52","117","184","138","104","18","0"
